Ragione_sociale,Anno,Utile_Netto,Totale_Attività,Patrimonio_Netto,ROE,Indice_Liquidità,Dipendenti
Orbita Verticale S.R.L.,2020,-52574,832575,780571,-674.0,672.0,1
Orbita Verticale S.R.L.,2019,-68885,509353,451145,-1527.0,268.0,1
Orbita Verticale S.R.L.,2018,-6969,119987,10031,-6947.0,5.0,1
DATAREACTOR S.R.L.,2020,-5590,289029,276722,-202.0,783.0,0
DATAREACTOR S.R.L.,2019,-12688,285296,282313,-449.0,NaN,0
SKINLABO S.R.L.,2020,-3327750,3409171,487660,NaN,72.0,27
SKINLABO S.R.L.,2019,-2149563,1814210,211410,NaN,57.0,16
SKINLABO S.R.L.,2018,-574018,616293,149975,NaN,63.0,3
SKINLABO S.R.L.,2017,-188979,395073,150989,-12516.0,20.0,2
SKINLABO S.R.L.,2016,-136530,580085,302970,-4506.0,551.0,1
THE BASKET S.R.L.,2020,2051,118097,12740,161.0,136.0,2
THE BASKET S.R.L.,2019,670,84311,10692,627.0,88.0,1
THE BASKET S.R.L.,2018,21,13367,10020,21.0,798.0,0
AL.TA CUCINA S.R.L.,2020,-94908,355774,223518,-4246.0,234.0,5
AL.TA CUCINA S.R.L.,2019,-148328,386982,318426,-4658.0,456.0,3
AL.TA CUCINA S.R.L.,2018,-42309,234335,209956,-2015.0,86.0,0
KELLIFY S.P.A.,2020,-1441405,3884295,2423744,-5947.0,89.0,18
KELLIFY S.P.A.,2019,-751712,1366410,758984,-9904.0,292.0,8
KELLIFY S.P.A.,2018,-483332,1091570,905396,-5338.0,695.0,5
KELLIFY S.P.A.,2017,-7040,255256,100961,-697.0,66.0,3
KELLIFY S.P.A.,2016,-2037,12445,7964,-2558.0,6.0,0
KIPPY - S.R.L.,2020,-453777,2799260,648218,-700.0,93.0,9
KIPPY - S.R.L.,2019,32419,3109962,1101995,294.0,9.0,14
KIPPY - S.R.L.,2018,-306390,2404268,-72874,NaN,106.0,6
KIPPY - S.R.L.,2017,-807151,2054688,233516,NaN,92.0,6
KIPPY - S.R.L.,2016,-189639,1211033,43667,NaN,111.0,6
KIPPY - S.R.L.,2015,-288289,1029874,61995,NaN,44.0,6
KIPPY - S.R.L.,2014,-258400,972094,85630,NaN,3.0,1
KIPPY - S.R.L.,2013,-69970,325212,44030,NaN,3.0,1
WALL STREET FOOTBALL SOCIETA' A RESPONSABILITA' LIMITATA,2021,-209904,485969,375421,-5591.0,488.0,1
WALL STREET FOOTBALL SOCIETA' A RESPONSABILITA' LIMITATA,2020,-21853,152245,41810,-5227.0,98.0,0
WALL STREET FOOTBALL SOCIETA' A RESPONSABILITA' LIMITATA,2019,-6615,995,475,NaN,11.0,0
WALL STREET FOOTBALL SOCIETA' A RESPONSABILITA' LIMITATA,2018,-8700,941,-8600,NaN,645.0,0
WALL STREET FOOTBALL SOCIETA' A RESPONSABILITA' LIMITATA,2017,0,100,100,0.0,NaN,0
WHOOSNAP S.R.L.,2021,-2228777,10181808,7776891,-28.66,0.98,48
WHOOSNAP S.R.L.,2020,-987013,11202782,9974523,-9.9,2.55,31
WHOOSNAP S.R.L.,2019,-1201169,1449083,659071,NaN,7.43,34
WHOOSNAP S.R.L.,2018,-638017,1031108,860239,-74.17,9.99,9
WHOOSNAP S.R.L.,2017,-152307,1515292,1498255,-10.17,NaN,1
WHOOSNAP S.R.L.,2016,-239671,358785,356564,-67.22,NaN,1
WHOOSNAP S.R.L.,2015,-178766,410307,406234,-44.01,NaN,1
GENOMEUP SOCIETA' A RESPONSABILITA' LIMITATA,2020,10273,370610,313020,3.28,7.09,1
GENOMEUP SOCIETA' A RESPONSABILITA' LIMITATA,2019,-61063,99804,52745,-115.77,2.36,2
GENOMEUP SOCIETA' A RESPONSABILITA' LIMITATA,2018,-181243,143883,105298,NaN,3.93,2
GENOMEUP SOCIETA' A RESPONSABILITA' LIMITATA,2017,181,1287,191,94.76,1.17,1
